page,page-href,title,review_text,stars
"68","https://www.trustpilot.com/review/www.rebtel.com?page=68","Brilliant service","I find this system easy to use and a way to communicate with my family.","star-rating count-4 size-medium clearfix"
"","https://www.trustpilot.com/review/www.rebtel.com?page=19","Not efficient customer care support","I have been using Rebtel for calling India no doubt the call quality is unbeatable. My auto payment option was switched on and they deducted $13 every week though the offer was $13 for a month. I wrote to them through there support option on the application but received no reply. Using rebtel is heavy on my pocket as till date i have given $52 for calling. 😞","star-rating count-2 size-medium clearfix"
"90","https://www.trustpilot.com/review/www.rebtel.com?page=90","awesome","I recently change my international calls from Union Telecard whom have been using for 5 yrs now to Rebtel. My brother mentioned Rebtel and at a chance I sign up 3months ago but dont use it frequently but then this month I was looking at account and realised I still have some money left which prompted to compute the cost per minute boy what a surprise. Rebtel was way cheaper than what I was using imagine my lost minutes for the last five years oh well am with Rebtel now.","star-rating count-5 size-medium clearfix"
"","https://www.trustpilot.com/review/www.rebtel.com?page=115","excellent","a huge savings for me in long distance calls","star-rating count-5 size-medium clearfix"
"110","https://www.trustpilot.com/review/www.rebtel.com?page=110","Awesome!","Great service with no hidden charges. Please qualify Nigeria as Rebtel country.","star-rating count-5 size-medium clearfix"
"90","https://www.trustpilot.com/review/www.rebtel.com?page=90","Works perfect, ease to use, good audioquality.","I never had any problems. Works all the Time perfect. And it's a very good prize.","star-rating count-5 size-medium clearfix"
"84","https://www.trustpilot.com/review/www.rebtel.com?page=84","Mainly great service, but some sneaky charges turned me off","I was excited by Rebtel when it was first recommended to me by a friend, and I've used it several times with success. However, in a recent experience, I called someone, they didn't answer, but then they called back using the Rebtel numbers, and unknowingly I somehow ""accepted"" a collect call. Because I believed the rate to be 1.5 cents per minute, I talked for 30 minutes, only to find my account charged for close to $9. Apparently a small noise made at the beginning of my call was supposed to alert me that I was getting charged at this absurdly high rate. I think it's abusive of Rebtel to believe anyone could figure that out. I promptly went into my settings and changed my alert for receiving collect calls - I suggest all other users do the same. But I am now much more hesitant to use Rebtel due to fear of other hidden charges.","star-rating count-3 size-medium clearfix"
"","https://www.trustpilot.com/review/www.rebtel.com?page=87","very satisfying","You have really helped me connect my friends. Any chrismas bonus? Can we get more cheaper services? Thanks alot and Merry Chrismas to all.","star-rating count-5 size-medium clearfix"
"","https://www.trustpilot.com/review/www.rebtel.com?page=33","Excellent service always. Very happy with its quality.","very happy with this app. I use it to talk to my family back in India and the call quality is excellent. Does not need wifi or data so it basically works like a local call! It's very reasonable. I hope they continue to provide the good service in the future.","star-rating count-5 size-medium clearfix"
"","https://www.trustpilot.com/review/www.rebtel.com?page=97","I just loooovvvee rebtel!!!","Rebtel is easy to use and cheap. It saves me a lot.","star-rating count-5 size-medium clearfix"
"","https://www.trustpilot.com/review/www.rebtel.com?page=103","Excellent rates","Excellent service. They're offering cheap rates for international calling to any phone, all over the world.","star-rating count-5 size-medium clearfix"
"74","https://www.trustpilot.com/review/www.rebtel.com?page=74","it is very usefull,thanks.","It is very useful,thanks.","star-rating count-5 size-medium clearfix"
"20","https://www.trustpilot.com/review/www.rebtel.com?page=20","Borderline scamming","Even worse than I thought.  Belligerence of customer service to do anything except write emails amounting to ""it's you who are at fault for our overbilling, do this, do that etc., et.,. Rebtel has no understanding of their billing process with credit card issuers. No more patience for this kindergarten operation. Turned over to AM EX to handle all.

Signed up for service, started at $5.00 per month to Eastern Europe.  Fee changed to who knows what since they don't want to say.  Incurred 3 charges of $25 x 3 ($75) in 1 month .  Called AM EX to challenge the extra costs, Rebtel locked my service and said they wouldn't do anything until I ""undisputed"" the charges.  Customer non service service doesn't seem to understand English based on the nonsensical answers that does not address the issues, much less  provide customer service. Maybe this is a garage operation?","star-rating count-1 size-medium clearfix"
"24","https://www.trustpilot.com/review/www.rebtel.com?page=24","PAYMENT FAILED","I am trying activate the $10 subscription USA to INDIA  but every time show payments failed 
Contact to your bank then I contact to bank they said they are ok no issues with a bank my friends also have same problem it's issue with a Rebtel  I have request plz fix your payment method","star-rating count-2 size-medium clearfix"
"100","https://www.trustpilot.com/review/www.rebtel.com?page=100","best service  I have used to date","The service is good - the connection and the rates are excellent and I would recommend to anyone using overseas calling services","star-rating count-5 size-medium clearfix"
"78","https://www.trustpilot.com/review/www.rebtel.com?page=78","It is the worse Co.","It has been over a month my service have been interrupted , why cannot re-establish my service with the new phone # or old #, if not refund my money, what is wrong with Rebtel? Case # 215038!","star-rating count-1 size-medium clearfix"
"12","https://www.trustpilot.com/review/www.rebtel.com?page=12","Refund","I have topped up for 100$ mistakenly as in the topup option it is near 100$ I just touched it then my 100$ gone I asked for refund no reply from them don't believe rebtel app","star-rating count-1 size-medium clearfix"
"20","https://www.trustpilot.com/review/www.rebtel.com?page=20","Only wish there was a PC phone.","I wish you would do the PC phone again and also an app for Blackberry.","star-rating count-5 size-medium clearfix"
"","https://www.trustpilot.com/review/www.rebtel.com?page=41","Speedy and efficient service","I've been using Rebtel since 2012, no problems. I have stayed with them due to their good rates. Recently I added $150 of credit instead of the intended $8. I panicked and sent  multiple messaged to them through their website, Twitter and instagram, by the time I woke up the next day, I had gotten replies to all the messages I had sent and my problem was resolved. Thank you Rebtel!","star-rating count-5 size-medium clearfix"
"","https://www.trustpilot.com/review/www.rebtel.com?page=11","Place call via wifi and still getting charged","when i place my call through wifi still i get charged even after i actually bought the bad subscription of unlimited calls to india. $10/ month.","star-rating count-1 size-medium clearfix"
"48","https://www.trustpilot.com/review/www.rebtel.com?page=48","The cheapest international call ever!","Hi there,

I have been a customer of Rebtel for past three years. It has been a wonderful experience to discover them. Their rates are very cheap, and very convenient to call my loved ones abroad. 

Adekunle.","star-rating count-5 size-medium clearfix"
"111","https://www.trustpilot.com/review/www.rebtel.com?page=111","it is very awesome service","amazing !!!! i am using it since 6 months or more and i am totally satisified and i recommend it strongly... awesome connection and awesome Voip but i hope you will improve or at least continue as you are. Go Rebtel Go","star-rating count-5 size-medium clearfix"
"","https://www.trustpilot.com/review/www.rebtel.com?page=25","Excellent","It is almost clear ,reasonable and really helpfull","star-rating count-4 size-medium clearfix"
"44","https://www.trustpilot.com/review/www.rebtel.com?page=44","Average Quality","Voice quality needs to be improved.","star-rating count-3 size-medium clearfix"
"","https://www.trustpilot.com/review/www.rebtel.com?page=53","hopeless rip off","paid to be able to contact my son in cuba but after unlimited e mails i am still having no luck and trying to contact anyone for help is a waste of time.and every time i try to call they take minutes off my account total.","star-rating count-1 size-medium clearfix"
"114","https://www.trustpilot.com/review/www.rebtel.com?page=114","Super duper","good value for money easy to use","star-rating count-5 size-medium clearfix"
"","https://www.trustpilot.com/review/www.rebtel.com?page=79","Great price but bad connection this time.","This was our second experience using rebtel. Our first was perfect. We were pleased . This time there was a five second  delay after each time we talked. We hung up and called back thinking it was the connection but the problem remained. I don't know if it was because of rebtel or the phone company but it was annoying either way.","star-rating count-2 size-medium clearfix"
"","https://www.trustpilot.com/review/www.rebtel.com?page=11","They are looting...","I joined on Mar 16( as they say i should have got 1 week of free calling)
but they charge me $10 on Mar 18 and again $10 on Mar 23.
So i got charged twice within a week time. 

Guys dont use this, if at all using delete your credit card details after recharge, they are misusing it.
thanks","star-rating count-1 size-medium clearfix"
"44","https://www.trustpilot.com/review/www.rebtel.com?page=44","awesome performance keep it up","Rebtel family is an excellent family to be part of","star-rating count-5 size-medium clearfix"
"58","https://www.trustpilot.com/review/www.rebtel.com?page=58","Great rates and service","Been using Rebtel for years. No hiccups. Great service and rates.","star-rating count-5 size-medium clearfix"
"","https://www.trustpilot.com/review/www.rebtel.com?page=109","Good deal.","Good rates, better quality. I used raza.com before but their quality deteriorated over time, hope this does not happend with rebtel.","star-rating count-5 size-medium clearfix"
"30","https://www.trustpilot.com/review/www.rebtel.com?page=30","So great","I know now this is the best company to call to Cuba thanks","star-rating count-5 size-medium clearfix"
"40","https://www.trustpilot.com/review/www.rebtel.com?page=40","im happy for Rebtal","A im happy for Rebtal","star-rating count-5 size-medium clearfix"
"28","https://www.trustpilot.com/review/www.rebtel.com?page=28","Quality is AWFUL.","I have already wasted most of my purchase on calls I had to disconnect because communication was impossible.  The connection cuts out, voice is garbled, not heard...  We keep hanging up and calling back trying to get enough quality to be able to convey a simple message but it's useless.  

This purchase was a 100% loss.","star-rating count-1 size-medium clearfix"
"114","https://www.trustpilot.com/review/www.rebtel.com?page=114","Good program","Robtel has helped me save money on long distance calls, and I have not lost minutes as I use to experience with most calling cards.","star-rating count-4 size-medium clearfix"
"","https://www.trustpilot.com/review/www.rebtel.com?page=43","Excellent until...","I talk to overseas people, mostly in Africa, for almost 2,000 minutes a month. I used 'phone cards until I realised their published rates only applied for the first 4 minutes of each call--then rates sky-rocket! It is very sneaky, this detail is in the small print. You may think you are paying, say, 9p/minute but you are likely to be paying 20-30p/minute.

So I was delighted to find Rebtel, which did not engage in this underhand practice. With no card number to enter, Rebtel was easier to use and the ability to allocate a UK number to frequently called overseas numbers was brilliant. With Rebtel calling abroad whilst driving became easy.

After a few months of being very happy with Rebtel (call quality is generally better than calling cards too), I noticed the cost of calls to Zambia had suddenly tripled! No notification, nothing. Needless to say, I no longer use Rebtel.

Rebtel is a very good service but check the rates charged and keep checking--don't get caught out as I did.","star-rating count-3 size-medium clearfix"
"98","https://www.trustpilot.com/review/www.rebtel.com?page=98","excellent service","excellent service","star-rating count-5 size-medium clearfix"
"110","https://www.trustpilot.com/review/www.rebtel.com?page=110","PAT","Excellent service.","star-rating count-5 size-medium clearfix"
"","https://www.trustpilot.com/review/www.rebtel.com?page=99","I am very pleased.","Are you tired of using phone card as I was ? Rebtel is for you.
No frustration or inconvenience of time. I strongly recomend 
rebtel. You won't be disapointed.","star-rating count-4 size-medium clearfix"
"","https://www.trustpilot.com/review/www.rebtel.com?page=79","i like the service and calling Nigeria from where I am is a whole new experience.","I would like rebtel to give bonus on anyone who can prove that a new client is as a result of ones direct marketing for them. This can be by the new client giving the number of the person who signed him on. Overall, I like the service, it has given the benefit of cheap, clear and effective call to Nigeria. Good job guys!","star-rating count-4 size-medium clearfix"
"","https://www.trustpilot.com/review/www.rebtel.com?page=59","Great","Everything works good","star-rating count-5 size-medium clearfix"
"72","https://www.trustpilot.com/review/www.rebtel.com?page=72","Calling rates to algeria though rebtel are curently too expensive compared to other countries.","Calling rates to Algeria are too expensive.","star-rating count-2 size-medium clearfix"
"","https://www.trustpilot.com/review/www.rebtel.com?page=105","Great service, great care and rates cheap","I have tested the service. Very very good. I had some problems with software and the customer care solve all.
The rates are more cheap. The quality of call is good. I have phone in cuba that with skype is very poor. With rebtel no.
ADVISED...+++++++++++++++++++++++++++++++++","star-rating count-5 size-medium clearfix"
"50","https://www.trustpilot.com/review/www.rebtel.com?page=50","rebtel service review","overall good service but my one and only and BIG complaint is that when i call cuba i'm getting charge from the time the phone starts ringing ..i dont think this is fair at all i should be charge from the time they pickup the phone in the other end ..most times it takes about 10 seconds before i get connected ..so for every call i make i loose 10 seconds . i've been calling cuba everyday for the las 3 years ,so that's a lot of money i'm loosing.i spoke to rebtel in regards to this issue and no help or compesation was offer at all ..if you advertise calls for 69 cents a minute it should be  69 cents .","star-rating count-4 size-medium clearfix"
"","https://www.trustpilot.com/review/www.rebtel.com?page=85","Absolutely Brilliant!!","I topped up with €20 about two weeks before Christmas (2012) and I spoke to friends and family all over the world!  I dialed and I dialed until they got sick of me. I dialed UK mobiles which I normally find so expensive. Dialing via WiFi occasionally broke up after 3 minutes but only after I'd said what was important.  Dialing via local phone had no problems whatsoever! Always clear! And cheap too!  Recommended the app to friends and fam. I am very satisfied!

M

Stockholm, Sweden","star-rating count-5 size-medium clearfix"
"80","https://www.trustpilot.com/review/www.rebtel.com?page=80","I AM YET TO SEE A BETTER SERVICE THAN REBTEL SERVICE","When I decided to check out REBTEL services, I wasn't too sure it could be better than what I was using then. But to my greatest surprise, it's way better. I am happy I  tried out Rebtel and can confidently recommend it's services to all and sundry. I am only hoping Rebtel would grow to greater heights. Kudos to the Rebtel support team!","star-rating count-5 size-medium clearfix"
"92","https://www.trustpilot.com/review/www.rebtel.com?page=92","Really cheap yet reliable call","This is yet by far the best and the cheapest international call I can find, and it turns out to be reliable with good calling quality without any delay or vagueness. I would like to recommend it to my friends who are in need of frequent international calls. Excellent!","star-rating count-5 size-medium clearfix"
"","https://www.trustpilot.com/review/www.rebtel.com?page=61","Blessedly cheap","I really appreciate the cheap calls that are available. It is a great value. My only complaint would be the ads that pop up an interrupt my calls and cost me a minute. If I were going to invite someone I would have already, the person who I call can't use the service. Other than that it's great call quality. Just hate losing minutes.","star-rating count-4 size-medium clearfix"
"","https://www.trustpilot.com/review/www.rebtel.com?page=93","doesn't work with wifi on windows phone, not nice, expensive national mobile","Expensive national mobile
doesn't work with wifi on windows phone, not nice","star-rating count-3 size-medium clearfix"
"","https://www.trustpilot.com/review/www.rebtel.com?page=55","5 stars","Excellent service","star-rating count-5 size-medium clearfix"
"98","https://www.trustpilot.com/review/www.rebtel.com?page=98","Very good! A few dimes can last for 20+ minutes","I tried other companies before but rebtel is the least expensive and most convenient one. Just like local call, fast, easy, clear.
The only thing I don't like is that they said they will give me 30 minutes free call but they didn't.","star-rating count-5 size-medium clearfix"
"","https://www.trustpilot.com/review/www.rebtel.com?page=93","I can't ask for more","I learned about Rebtel from my sister who is in the US and I have never been this happy. I used to spend a lot on buying airtime to call my people back in Kenya but since I started using Rebtel, my telephone charges have reduced by over 500%. I need not to say more, but am a really happy customer. The service is of high quality with no cross- talk, channel interference, high voice clarity among other things. You want to get real value for your money? look no further than Rebtel.","star-rating count-5 size-medium clearfix"
"50","https://www.trustpilot.com/review/www.rebtel.com?page=50","Not able to use","Still i am not able to use rebtel. Due to the problem in online payment.","star-rating count-1 size-medium clearfix"
"","https://www.trustpilot.com/review/www.rebtel.com?page=49","Its a very nice to call any where in the world","Really i am very happy to use this apps with my mobile. Its a very helpfull for anyone whos want to connect with their family.","star-rating count-5 size-medium clearfix"
"76","https://www.trustpilot.com/review/www.rebtel.com?page=76","Great service quality - USA to Egypt","Great service quality - USA to Egypt","star-rating count-5 size-medium clearfix"
"","https://www.trustpilot.com/review/www.rebtel.com?page=75","Flawless","I'm so glad I discovered Rebtel. Since then this is the only way I call back home. My friends are using it to call home too and they are all really happy with it.","star-rating count-5 size-medium clearfix"
"38","https://www.trustpilot.com/review/www.rebtel.com?page=38","Be careful having anything to do with Rebtel","Rebtel has a deceitful business practices provable as follows:
1) Minutes advertised and purchased does not match the minutes you actually get.
2) No toll free number to contact any one for concerns.
3) No one to hold accountable in case of any problems with billing and credit cards that are wrongfully charged. There are days that I was charged double on my card.
4) I finally dumped them and I still have not received credit of $10.11 balance on my account AFTER OVER A MONTH.
5) I have $10.11 balance on my account, yet I cannot make calls. Be careful people, I SMELL FRAUD.
6) This company do not even deserve one star.","star-rating count-1 size-medium clearfix"
"36","https://www.trustpilot.com/review/www.rebtel.com?page=36","Logo Replicate the Service","Am not even ready to give a single star .. The trustpilot is not allowing to place the review with out a star.
1 Star considering as BAD .. But the REBTEL service is even worst.

I took the rebtel subscription on Last week of January, And they clearly mentioned about the pricing information for monthly subscription.
Refer the rebtel website 

So I recharged with that amount, Just after 4 to 5 days got a voice mail saying that make another recharge with the same amount to make a call.

I proceed recharge with that amount again though its not a month and send an email I got an acknowledgement but didn't response yet.

And very unfortunate thing is they didn't even have a customer support number to make a call and the only way is you should wait and keep on recharge with that amount until they'll respond.

We never know when they'll respond, Because there is no dead line date for that.

This is the response I got from REBTEL two days before :
Your request (#831676) has been received by our team. We answer most questions within 48 hours but it can take us longer during peak times or over holidays and weekends. If you are in a hurry, you may find an answer to your question in our Help Section: 

This is all about customer support !!!

If you talk about the call quality that is Ridiculous.. Every time you'l be end up with Background noise or Some ECHO sound on both ways.
 
Please be aware !!","star-rating count-1 size-medium clearfix"
"","https://www.trustpilot.com/review/www.rebtel.com?page=61","FAKE FAKE FAKE","Disgusting site. Its been 3 times. This site is using my card information and very frequently money gets deducted from my account. Called its toll free number which again goes to some other company's call center. So don't use this site...","star-rating count-1 size-medium clearfix"
"","https://www.trustpilot.com/review/www.rebtel.com?page=101","Rebtel da Rebel","My wife's family is mostly in VietNam.  ATT's DISCOUNTED international rate is roughly 10x what we pay for Rebtel if *WE* do the call.  If THEY call us, the ATT rate is about 20x.  The sound quality is very good & delay is not an issue.  A real no brainer","star-rating count-5 size-medium clearfix"
"112","https://www.trustpilot.com/review/www.rebtel.com?page=112","Really great quality of the calls!","Really great quality of the calls and it doesn't hide my real dialing number when using local numbers.","star-rating count-5 size-medium clearfix"
"12","https://www.trustpilot.com/review/www.rebtel.com?page=12","bad service,","most of the time its pop with try again option, from yesterday its in automatically travel mode and I am not able to make calls as I am not in wifi range, and cant make calls through local call option. please help as i have send complaints also there is no reslults.","star-rating count-2 size-medium clearfix"
"24","https://www.trustpilot.com/review/www.rebtel.com?page=24","Rude customer service","Please do not use this service. I had used it Rebtel for at least 3 years now, successfully only to wake up to the worst case scenario and an even worse customer service platform. They posted on their Facebook page that they couldn't connect calls. Of course I haven't even opened my own Facebook profile in years, how would I know, so I make calls unknowingly that Rebtel is not working. Mind you, voice system says everything it says on any other normal day, ""Welcome to Rebel please enter the international number you want to call'"" etc. So I call, I have topped up my account with about 500 minutes so I'm not even worried. I make my usual calls, to all my relatives, friends unknowingly. The next day I find out that instead of charging my Rebtel account as was supposed to happen all the calls (now I know it was due to their connectivity issues) of course AT&T picked them all up and now I had a $400 bill. After five days of trying to contact them, I wind up having to contact them through Facebook, and they end up saying oh we don't see any of your calls on our logs, well of course if your system was actually down you aren't going to see anything. Then they say we'll give you $20 credit as a sign of good faith. $400, $20 , good faith? Come on now. And then they try hide behind the issue of not interfering with third parties, no this is about how your system fooled me. At this point it's not even about just the bill, the emotional toll all this has taken on me is included. My email is tequiladube@ yahoo.com for anyone who wants more evidence against these thieves, or just wants to see proof about the monster I'm advising against.","star-rating count-1 size-medium clearfix"
"","https://www.trustpilot.com/review/www.rebtel.com?page=63","Reliable, quality affordable calling.","I phone my family everyday from another country. Rebtel allows us to stay in contact with each other all year long with it's fantastic rates and quality calls.","star-rating count-5 size-medium clearfix"
